,Name,FAMACHA,Mean_R,Mean_G,Mean_B,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B
58,180_640x640img143_4.jpg,1,205.32,152.73,155.41,220.0,156.0,158.0,48.9,42.12,42.38
59,180_640x640img144_2.jpg,0,210.0,151.52,153.76,228.0,160.0,161.0,59.65,48.93,47.32
60,180_640x640img145_2.jpg,0,188.66,134.05,133.42,203.0,139.0,139.0,54.07,55.65,53.75
61,180_640x640img146_2.jpg,0,216.95,154.71,157.47,231.0,157.0,160.0,50.61,45.75,44.08
62,180_640x640img148_4.jpg,1,192.71,146.02,148.65,209.0,151.0,152.0,53.92,42.09,38.86
63,180_640x640img149_2.jpg,0,183.74,124.23,122.16,204.0,129.0,129.0,57.4,47.14,45.2
64,180_640x640img14_4.jpg,1,193.8,157.02,147.54,206.0,163.0,153.0,43.76,40.56,39.64
65,180_640x640img150_2.jpg,0,193.45,121.7,122.05,206.0,124.0,125.0,48.63,52.65,49.15
66,180_640x640img151_2.jpg,0,206.28,142.47,142.95,224.0,151.0,150.0,56.59,56.19,53.91
67,180_640x640img152_3.jpg,1,220.63,166.43,167.94,238.0,173.0,173.0,53.95,42.79,39.28
68,180_640x640img153_3.jpg,1,192.86,139.83,141.32,210.0,157.0,156.0,56.6,59.88,58.76
69,180_640x640img154_3.jpg,1,196.73,144.18,142.66,213.0,154.0,150.0,53.25,54.85,53.16
70,180_640x640img155_3.jpg,1,215.77,151.4,152.7,232.0,161.0,162.0,49.12,48.76,46.88
71,180_640x640img156_3.jpg,1,187.64,135.59,135.7,206.0,140.0,140.0,55.49,45.5,46.08
72,180_640x640img157_3.jpg,1,162.16,95.17,96.65,176.0,102.0,105.0,52.35,42.86,41.92
73,180_640x640img158_3.jpg,1,160.63,112.99,114.46,174.0,120.0,120.0,48.01,43.67,42.16
74,180_640x640img159_3.jpg,1,187.31,145.27,148.7,214.0,158.0,161.0,71.22,54.3,55.03
75,180_640x640img15_4.jpg,1,200.47,180.65,170.23,219.0,193.0,182.0,53.83,52.26,54.92
76,180_640x640img160_4.jpg,1,182.52,155.02,159.43,196.0,161.0,165.0,52.03,53.89,53.36
77,180_640x640img161_4.jpg,1,205.55,163.86,158.46,226.0,174.0,168.0,60.9,49.61,46.24
78,180_640x640img163_4.jpg,1,182.41,151.26,148.03,204.0,162.0,158.0,56.98,44.91,41.44
79,180_640x640img164_4.jpg,1,151.61,111.67,128.82,165.0,123.0,141.0,53.54,40.03,43.46
80,180_640x640img165_3.jpg,1,168.12,127.71,143.27,180.0,136.0,152.0,62.28,60.67,60.18
81,180_640x640img166_3.jpg,1,175.78,137.44,132.26,192.0,139.0,135.0,45.17,41.08,39.43
82,180_640x640img167_4.jpg,1,202.76,175.28,179.15,220.0,183.0,187.0,57.88,42.28,40.2
83,180_640x640img168_3.jpg,1,110.98,52.7,62.48,105.0,43.0,54.0,51.67,30.89,33.4
84,180_640x640img16_2.jpg,0,184.99,108.26,113.82,198.0,101.0,106.0,53.17,40.34,42.1
85,180_640x640img170_2.jpg,0,168.38,124.1,131.79,199.0,141.0,151.0,70.33,60.98,60.45
86,180_640x640img171_3.jpg,1,169.7,121.48,120.62,185.0,120.0,118.0,59.35,50.57,49.65
87,180_640x640img172_4.jpg,1,195.13,154.1,153.75,213.0,167.0,166.0,56.12,49.6,48.02
88,180_640x640img173_4.jpg,1,206.67,168.55,168.84,227.0,177.0,176.0,57.31,62.19,60.57
89,180_640x640img175_3.jpg,1,177.58,122.32,121.25,195.0,127.0,124.0,53.97,42.11,40.55
90,180_640x640img176_3.jpg,1,191.76,136.24,128.11,218.0,146.0,137.0,64.16,52.34,52.78
91,180_640x640img177_3.jpg,1,197.25,145.05,149.46,221.0,151.0,158.0,63.54,61.79,61.11
92,180_640x640img178_2.jpg,0,156.54,100.72,103.58,174.0,92.0,94.0,63.12,50.4,51.73
93,180_640x640img179_3.jpg,1,193.42,152.05,150.28,210.0,162.0,160.0,57.29,46.41,46.91
94,180_640x640img17_4.jpg,1,198.29,137.03,131.84,223.0,148.0,141.0,62.08,49.41,49.86
95,180_640x640img180_3.jpg,1,194.67,157.44,150.71,207.0,172.0,165.0,52.39,53.87,56.67
96,180_640x640img181_2.jpg,0,168.87,113.77,106.61,194.0,113.0,103.0,72.76,54.81,55.29
97,180_640x640img182_2.jpg,0,124.01,62.21,62.43,131.0,62.0,62.0,39.66,22.27,22.22
98,180_640x640img184_2.jpg,0,205.22,124.12,115.07,221.0,122.0,111.0,49.22,49.82,51.95
99,180_640x640img186_2.jpg,0,167.93,124.02,123.41,201.0,126.0,124.0,70.33,61.79,63.03
100,180_640x640img187_4.jpg,1,196.81,153.17,146.73,218.0,171.0,164.0,59.5,54.69,57.83
101,180_640x640img188_3.jpg,1,197.6,161.65,156.0,216.0,162.0,155.0,55.33,55.51,57.1
102,180_640x640img189_3.jpg,1,217.77,164.79,168.96,242.0,177.0,182.0,59.13,57.35,57.95
103,180_640x640img18_2.jpg,0,206.04,154.23,146.68,228.0,162.0,153.0,58.5,49.33,48.49
104,180_640x640img190_3.jpg,1,199.75,142.14,130.39,222.0,150.0,137.0,62.38,47.44,47.21
105,180_640x640img196_2.jpg,0,162.02,123.46,123.34,180.0,131.0,129.0,48.77,43.35,47.04
106,180_640x640img197_3.jpg,1,188.21,127.6,121.02,209.0,134.0,127.0,56.31,44.49,44.33
107,180_640x640img198_3.jpg,1,195.99,157.44,158.36,214.0,163.0,163.0,56.4,48.48,48.47
108,180_640x640img199_3.jpg,1,169.3,127.92,129.88,196.0,118.0,120.0,69.23,67.88,68.41
109,180_640x640img19_3.jpg,1,184.44,159.74,157.6,197.0,168.0,166.0,47.3,50.47,52.72
110,180_640x640img1_4.jpg,1,198.91,160.38,146.42,215.0,167.0,151.0,54.27,43.99,46.28
111,180_640x640img200_2.jpg,0,210.95,141.16,132.2,238.0,149.0,140.0,62.07,50.64,50.39
112,180_640x640img201_3.jpg,1,198.06,128.98,120.81,226.0,136.0,127.0,68.18,43.99,42.44
113,180_640x640img202_3.jpg,1,162.17,102.89,110.26,176.0,97.0,105.0,54.48,43.23,45.02
114,180_640x640img203_3.jpg,1,178.16,122.3,117.19,198.0,128.0,121.0,61.21,49.37,50.91
115,180_640x640img204_3.jpg,1,206.02,170.69,169.6,227.0,193.0,190.0,55.12,58.21,57.01
116,180_640x640img205_3.jpg,1,193.53,149.53,146.25,205.0,147.0,146.0,46.54,59.73,62.16
117,180_640x640img206_3.jpg,1,178.89,149.42,156.52,197.0,152.0,160.0,52.19,41.68,47.16
118,180_640x640img207_3.jpg,1,20.38,22.74,27.3,3.0,2.0,3.0,36.64,35.89,37.99
119,180_640x640img208_4.jpg,1,209.98,160.4,155.39,241.0,176.0,169.0,65.5,53.9,52.62
120,180_640x640img210_2.jpg,0,151.16,100.38,106.71,158.0,95.0,99.0,37.27,36.03,39.14
121,180_640x640img211_3.jpg,1,171.32,120.89,131.26,188.0,120.0,133.0,70.21,59.2,58.65
122,180_640x640img212_3.jpg,1,193.06,143.87,134.57,231.0,155.0,144.0,73.42,66.59,65.89
123,180_640x640img213_2.jpg,0,177.51,123.13,114.34,199.0,127.0,117.0,65.67,47.82,46.68
124,180_640x640img214_3.jpg,1,158.79,100.09,83.64,167.0,95.0,78.0,48.88,35.74,31.7
125,180_640x640img215_2.jpg,0,211.52,140.32,140.62,234.0,142.0,143.0,58.1,50.6,51.63
126,180_640x640img216_3.jpg,1,177.9,131.87,130.28,215.0,143.0,144.0,75.89,65.86,67.65
127,180_640x640img217_3.jpg,1,137.46,102.82,98.1,155.0,99.0,90.0,57.84,52.6,56.04
128,180_640x640img218_3.jpg,1,175.93,131.38,123.33,205.0,143.0,130.0,72.35,57.23,58.32
129,180_640x640img219_4.jpg,1,182.8,132.87,114.3,204.0,143.0,121.0,64.6,49.11,44.78
130,180_640x640img21_4.jpg,1,163.39,141.98,142.25,189.0,151.0,152.0,56.56,52.97,54.59
131,180_640x640img220_3.jpg,1,200.73,151.15,141.8,235.0,163.0,153.0,72.03,56.61,54.73
132,180_640x640img221_2.jpg,0,183.58,143.54,167.09,190.0,143.0,170.0,41.56,42.82,45.02
133,180_640x640img222_1.jpg,0,129.73,77.24,95.63,125.0,73.0,94.0,52.33,46.92,51.5
134,180_640x640img223_2.jpg,0,165.84,128.66,156.45,178.0,130.0,162.0,38.51,40.16,43.28
135,180_640x640img224_2.jpg,0,200.55,136.93,161.11,211.0,138.0,166.0,43.15,36.35,37.22
136,180_640x640img226_1.jpg,0,145.22,98.51,118.33,143.0,96.0,120.0,47.97,47.63,50.03
137,180_640x640img227_4.jpg,1,191.58,166.77,188.62,199.0,181.0,206.0,48.03,53.06,53.26
138,180_640x640img228_2.jpg,0,186.3,136.92,163.4,194.0,142.0,172.0,43.57,46.38,46.55
139,180_640x640img229_2.jpg,0,129.6,84.41,105.68,130.0,81.0,107.0,56.69,54.19,60.19
140,180_640x640img22_3.jpg,1,169.38,132.88,129.38,193.0,139.0,135.0,62.09,54.51,54.76
141,180_640x640img230_2.jpg,0,207.02,152.51,155.44,218.0,148.0,151.0,43.64,49.73,50.28
142,180_640x640img232_2.jpg,0,145.87,86.33,79.58,146.0,80.0,72.0,46.13,36.48,35.48
143,180_640x640img233_2.jpg,0,165.56,106.84,110.97,177.0,105.0,106.0,58.23,44.47,47.6
144,180_640x640img234_1.jpg,0,137.4,83.33,96.96,141.0,82.0,97.0,32.12,29.69,28.52
145,180_640x640img235_1.jpg,0,194.59,158.45,184.83,204.0,165.0,193.0,43.0,51.97,49.95
146,180_640x640img236_1.jpg,0,147.72,111.75,138.77,149.0,107.0,137.0,41.0,46.17,49.54
147,180_640x640img238_3.jpg,1,184.42,134.7,147.2,190.0,133.0,150.0,56.73,72.11,70.94
148,180_640x640img239_3.jpg,1,124.05,93.38,116.16,124.0,90.0,117.0,49.36,46.57,50.74
149,180_640x640img23_2.jpg,0,149.8,90.19,84.47,179.0,91.0,84.0,67.75,45.13,42.81
150,180_640x640img241_1.jpg,0,221.65,193.33,196.62,237.0,204.0,206.0,50.31,47.62,44.47
151,180_640x640img242_2.jpg,0,124.31,85.91,107.14,120.0,73.0,98.0,53.54,52.33,58.22
152,180_640x640img243_1.jpg,0,165.55,115.69,130.49,175.0,115.0,130.0,43.9,42.05,42.3
153,180_640x640img244_3.jpg,1,161.73,128.83,148.54,165.0,128.0,151.0,50.81,50.15,51.77
154,180_640x640img245_2.jpg,0,157.31,106.88,109.28,163.0,106.0,108.0,55.78,40.32,41.94
155,180_640x640img246_2.jpg,0,177.03,153.48,169.06,199.0,172.0,192.0,63.24,59.52,62.51
156,180_640x640img247_4.jpg,1,127.47,95.29,110.03,116.0,75.0,92.0,58.29,61.15,65.05
157,180_640x640img248_2.jpg,0,186.79,144.19,162.73,191.0,143.0,166.0,49.14,54.25,52.93
158,180_640x640img24_3.jpg,1,197.12,153.34,159.76,219.0,170.0,177.0,58.33,62.18,64.14
159,180_640x640img250_2.jpg,0,176.92,124.38,147.11,189.0,126.0,151.0,47.5,45.98,45.21
160,180_640x640img251_1.jpg,0,131.6,88.62,91.21,135.0,79.0,81.0,49.16,41.48,42.59
161,180_640x640img252_3.jpg,1,174.07,127.62,128.46,186.0,127.0,128.0,45.51,49.69,50.27
162,180_640x640img253_2.jpg,0,192.86,145.81,172.99,202.0,154.0,182.0,43.78,58.92,56.56
163,180_640x640img254_2.jpg,0,144.59,96.83,121.34,142.0,85.0,114.0,54.24,56.88,59.79
164,180_640x640img255_1.jpg,0,155.64,103.8,131.34,157.0,98.0,128.0,47.62,42.19,45.73
165,180_640x640img256_2.jpg,0,202.96,165.88,192.01,214.0,171.0,199.0,40.76,44.19,43.6
166,180_640x640img257_3.jpg,1,165.56,122.02,140.69,177.0,124.0,144.0,38.95,40.76,41.11
167,180_640x640img258_3.jpg,1,89.18,60.91,82.27,90.0,63.0,86.0,33.14,24.63,29.73
168,180_640x640img259_2.jpg,0,180.82,145.41,172.88,191.0,150.0,185.0,49.01,48.67,50.63
169,180_640x640img25_1.jpg,0,131.91,64.12,73.55,140.0,57.0,67.0,50.7,38.32,39.63
170,180_640x640img260_3.jpg,1,170.81,126.72,149.69,184.0,126.0,152.0,43.64,46.96,48.13
171,180_640x640img261_3.jpg,1,170.69,117.01,144.74,183.0,117.0,149.0,41.63,36.05,39.0
172,180_640x640img262_3.jpg,1,190.96,141.91,166.38,204.0,143.0,168.0,40.59,47.53,46.32
173,180_640x640img263_1.jpg,0,178.45,116.4,143.5,191.0,120.0,151.0,46.16,57.23,58.87
174,180_640x640img264_2.jpg,0,205.92,169.09,192.87,216.0,177.0,200.0,39.0,47.11,45.44
175,180_640x640img265_2.jpg,0,148.36,124.77,144.71,154.0,124.0,144.0,33.51,42.23,43.76
176,180_640x640img266_3.jpg,1,182.55,151.13,157.81,200.0,153.0,158.0,55.71,48.77,49.97
177,180_640x640img267_2.jpg,0,128.05,85.31,108.32,123.0,68.0,97.0,63.76,66.89,69.75
178,180_640x640img268_3.jpg,1,140.31,114.67,141.54,146.0,126.0,158.0,57.93,54.41,60.18
179,180_640x640img269_3.jpg,1,118.13,84.39,85.47,130.0,88.0,88.0,41.4,23.25,20.33
180,180_640x640img26_1.jpg,0,141.93,71.7,80.88,148.0,66.0,75.0,46.21,35.57,36.48
181,180_640x640img270_2.jpg,0,179.22,113.36,110.62,191.0,120.0,115.0,60.88,43.82,42.77
182,180_640x640img271_2.jpg,0,103.88,68.28,69.5,105.0,67.0,68.0,28.47,23.19,23.02
183,180_640x640img272_1.jpg,0,128.04,81.39,106.37,132.0,78.0,105.0,52.31,46.4,52.12
184,180_640x640img273_2.jpg,0,163.39,111.33,141.14,172.0,109.0,142.0,39.44,42.47,44.78
185,180_640x640img274_3.jpg,1,176.32,113.8,137.4,186.0,116.0,140.0,40.13,34.46,35.56
186,180_640x640img275_2.jpg,0,136.55,103.62,118.38,146.0,105.0,120.0,48.34,38.33,42.48
187,180_640x640img277_1.jpg,0,150.28,117.39,135.96,173.0,119.0,138.0,57.63,43.6,46.47
188,180_640x640img278_1.jpg,0,150.71,101.07,124.71,151.0,99.0,123.0,40.43,40.48,43.14
189,180_640x640img279_2.jpg,0,171.59,103.97,104.3,174.0,107.0,107.0,47.98,32.32,33.07
190,180_640x640img27_2.jpg,0,135.55,66.04,74.97,143.0,60.0,69.0,45.2,33.01,33.7
191,180_640x640img280_3.jpg,1,116.1,76.03,74.66,114.0,68.0,67.0,47.0,38.19,36.01
192,180_640x640img281_2.jpg,0,126.32,77.55,90.1,129.0,73.0,85.0,49.5,41.56,45.56
193,180_640x640img282_4.jpg,1,207.34,196.54,209.25,223.0,207.0,226.0,48.97,48.25,54.42
194,180_640x640img283_2.jpg,0,174.96,116.52,138.87,192.0,122.0,148.0,56.51,50.88,54.28
195,180_640x640img284_3.jpg,1,154.97,114.54,125.6,155.0,104.0,113.0,53.06,54.26,55.1
196,180_640x640img285_3.jpg,1,125.54,93.49,116.17,127.0,96.0,123.0,46.02,37.7,43.35
197,180_640x640img287_3.jpg,1,190.18,125.72,135.55,198.0,132.0,143.0,43.46,39.08,38.69
198,180_640x640img288_2.jpg,0,199.08,149.06,167.69,213.0,154.0,175.0,45.78,45.54,44.68
199,180_640x640img28_3.jpg,1,176.78,121.62,125.77,203.0,131.0,133.0,70.97,54.89,57.15
200,180_640x640img290_3.jpg,1,189.64,166.32,180.02,208.0,173.0,189.0,56.59,51.21,57.34
201,180_640x640img291_3.jpg,1,125.63,79.34,69.77,139.0,85.0,74.0,54.25,37.6,34.0
202,180_640x640img292_3.jpg,1,194.18,175.3,176.11,203.0,173.0,173.0,49.18,54.06,56.19
203,180_640x640img293_3.jpg,1,60.29,34.64,41.7,61.0,31.0,38.0,25.32,18.8,19.49
204,180_640x640img294_2.jpg,0,146.89,84.34,92.53,149.0,80.0,87.0,42.09,38.44,38.97
205,180_640x640img295_3.jpg,1,194.24,146.84,160.84,209.0,157.0,172.0,48.52,50.93,51.96
206,180_640x640img296_3.jpg,1,195.43,154.71,174.48,205.0,162.0,183.0,45.48,45.32,47.18
207,180_640x640img29_3.jpg,1,195.84,132.54,140.86,209.0,139.0,145.0,57.61,40.92,41.95
208,180_640x640img2_4.jpg,1,209.17,192.42,190.62,230.0,204.0,202.0,56.33,52.63,50.72
209,180_640x640img30_4.jpg,1,200.62,159.26,167.14,218.0,169.0,177.0,53.22,48.05,49.23
210,180_640x640img31_3.jpg,1,202.15,157.33,165.74,217.0,157.0,165.0,54.01,50.08,51.39
211,180_640x640img32_3.jpg,1,194.43,132.86,138.53,212.0,135.0,140.0,59.64,45.95,46.46
212,180_640x640img33_4.jpg,1,184.1,157.3,162.23,200.0,165.0,171.0,55.09,50.96,53.8
213,180_640x640img34_3.jpg,1,176.83,125.28,128.34,209.0,139.0,142.0,73.4,58.12,58.75
214,180_640x640img35_3.jpg,1,224.82,180.28,186.31,243.0,192.0,198.0,50.89,47.54,49.05
215,180_640x640img36_3.jpg,1,156.89,97.8,97.39,182.0,101.0,100.0,68.43,51.0,50.93
216,180_640x640img37_4.jpg,1,200.88,154.08,153.42,230.0,164.0,165.0,70.53,62.88,62.82
217,180_640x640img38_3.jpg,1,178.96,116.63,114.72,200.0,120.0,117.0,59.73,54.64,54.65
218,180_640x640img39_3.jpg,1,162.61,130.07,143.13,176.0,133.0,146.0,48.73,42.27,47.73
219,180_640x640img3_1.jpg,0,188.11,102.72,91.87,204.0,103.0,90.0,53.15,37.83,36.64
220,180_640x640img40_1.jpg,0,125.07,67.56,71.29,145.0,61.0,64.0,64.6,45.45,46.93
221,180_640x640img41_1.jpg,0,135.92,77.05,83.26,144.0,69.0,75.0,52.0,42.79,46.05
222,180_640x640img42_2.jpg,0,182.53,130.28,143.54,197.0,131.0,143.0,56.31,42.16,44.52
223,180_640x640img43_2.jpg,0,148.68,92.87,97.8,181.0,92.0,94.0,77.66,56.93,57.88
224,180_640x640img44_3.jpg,1,192.38,142.33,145.9,226.0,155.0,160.0,74.22,65.56,67.13
225,180_640x640img45_3.jpg,1,172.48,117.86,125.94,183.0,117.0,126.0,53.78,51.76,53.87
226,180_640x640img46_4.jpg,1,186.96,152.23,167.0,208.0,159.0,174.0,61.58,61.01,65.79
227,180_640x640img47_3.jpg,1,212.31,163.61,158.46,228.0,171.0,165.0,51.47,50.08,50.66
228,180_640x640img48_4.jpg,1,202.84,169.14,173.54,220.0,179.0,183.0,55.95,50.26,51.69
229,180_640x640img49_3.jpg,1,176.42,124.82,130.3,194.0,123.0,129.0,59.55,56.18,57.39
230,180_640x640img4_4.jpg,1,146.39,121.81,116.06,164.0,122.0,108.0,62.13,57.52,59.27
231,180_640x640img50_4.jpg,1,198.06,174.43,185.75,205.0,175.0,187.0,44.82,45.88,46.16
232,180_640x640img51_3.jpg,1,201.1,124.27,133.8,218.0,127.0,137.0,52.86,56.33,58.17
233,180_640x640img52_3.jpg,1,188.58,139.84,143.86,214.0,150.0,155.0,62.34,58.88,60.87
234,180_640x640img53_2.jpg,0,169.69,99.3,105.42,178.0,94.0,100.0,50.35,47.01,48.39
235,180_640x640img54_2.jpg,0,163.16,94.68,99.08,172.0,91.0,95.0,45.51,40.83,42.36
236,180_640x640img55_2.jpg,0,209.28,132.81,136.4,222.0,137.0,140.0,47.49,49.24,49.59
237,180_640x640img56_2.jpg,0,213.0,160.88,161.96,242.0,174.0,176.0,63.85,61.3,61.04
238,180_640x640img57_1.jpg,0,173.88,108.47,120.73,182.0,107.0,119.0,44.49,44.51,46.49
239,180_640x640img58_2.jpg,0,205.63,135.55,135.91,217.0,136.0,137.0,44.36,49.86,51.56
240,180_640x640img59_2.jpg,0,168.44,102.14,103.18,195.0,102.0,103.0,68.75,50.62,52.18
241,180_640x640img5_4.jpg,1,208.41,164.36,161.25,225.0,170.0,167.0,48.14,44.81,46.68
242,180_640x640img60_2.jpg,0,196.16,149.55,151.33,225.0,158.0,161.0,62.55,63.53,64.48
243,180_640x640img61_3.jpg,1,218.45,170.54,169.07,232.0,178.0,176.0,46.07,47.8,48.34
244,180_640x640img62_4.jpg,1,208.96,191.2,195.18,221.0,198.0,202.0,44.18,42.13,43.25
245,180_640x640img63_2.jpg,0,160.57,90.06,96.27,175.0,89.0,96.0,43.69,29.81,27.07
246,180_640x640img64_1.jpg,0,145.44,71.58,94.52,144.0,64.0,87.0,45.69,37.48,41.13
247,180_640x640img65_2.jpg,0,225.55,181.3,188.01,243.0,189.0,195.0,49.53,49.77,48.7
248,180_640x640img66_2.jpg,0,213.58,165.81,166.75,230.0,173.0,174.0,49.43,50.14,49.96
249,180_640x640img67_1.jpg,0,148.41,92.62,110.38,158.0,84.0,104.0,49.67,51.96,55.83
250,180_640x640img68_3.jpg,1,155.77,104.09,116.14,166.0,97.0,111.0,47.18,45.87,49.77
251,180_640x640img69_3.jpg,1,193.34,141.98,136.07,206.0,144.0,138.0,49.23,46.36,46.14
252,180_640x640img6_3.jpg,1,186.62,146.99,147.91,200.0,153.0,153.0,55.75,51.67,51.86
253,180_640x640img70_4.jpg,1,225.63,188.28,187.34,239.0,193.0,194.0,44.46,42.49,41.87
254,180_640x640img71_2.jpg,0,104.02,60.76,61.99,131.0,70.0,68.0,66.96,32.07,28.96
